Generated by TimeView III
Date:;Mon May 17 17:09:19 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

1038; 250012645.249982;
1039; 250012645.25027;
1040.01; 250012645.25158;
1041.01; 250012645.250086;
1042.01; 250012645.250032;
1043.01; 250012645.251104;
1044.01; 250012645.253081;
1045.01; 250012645.2507;
1046.01; 250012645.251752;
1047.01; 250012645.248295;
1048.01; 250012645.249786;
1049.02; 250012645.249873;
1050.02; 250012645.250233;
1051.02; 250012645.249986;
1052.02; 250012645.251166;
1053.02; 250012645.251043;
1054.02; 250012645.250579;
1055.02; 250012645.250202;
1056.02; 250012645.249966;
1057.02; 250012645.250494;
1058.02; 250012645.25198;
1059.02; 250012645.252219;
1060.02; 250012645.24967;
1061.03; 250012645.250463;
1062.03; 250012645.249469;
1063.03; 250012645.250352;
1064.03; 250012645.251962;
1065.03; 250012645.249751;
1066.03; 250012645.250771;
1067.03; 250012645.250425;
1068.03; 250012645.24937;
1069.04; 250012645.249742;
1070.04; 250012645.249494;
1071.04; 250012645.250625;
1072.04; 250012645.24922;
1073.04; 250012645.251237;
1074.04; 250012645.248841;
1075.04; 250012645.251037;
1076.04; 250012645.24987;
1077.04; 250012645.249868;
1078.04; 250012645.251042;
1079.05; 250012645.250662;
1080.05; 250012645.24938;
1081.05; 250012645.249972;
1082.05; 250012645.250801;
1083.05; 250012645.250731;
1084.05; 250012645.249696;
1085.05; 250012645.248991;
1086.05; 250012645.249211;
1087.05; 250012645.250349;
1088.05; 250012645.247574;
1089.05; 250012645.251044;
1090.05; 250012645.250807;
1091.06; 250012645.250882;
1092.06; 250012645.250703;
1093.06; 250012645.250224;
1094.06; 250012645.250174;
1095.06; 250012645.250213;
1096.06; 250012645.25051;
1097.06; 250012645.249507;
1098.06; 250012645.248798;
1099.07; 250012645.250078;
1100.07; 250012645.249417;
1101.07; 250012645.249746;
1102.07; 250012645.250596;
1103.07; 250012645.249178;
1104.07; 250012645.248323;
1105.07; 250012645.24959;
1106.07; 250012645.247646;
1107.07; 250012645.250596;
1108.07; 250012645.25087;
1109.08; 250012645.249377;
1110.08; 250012645.24985;
1111.08; 250012645.250051;
1112.08; 250012645.250365;
1113.08; 250012645.250561;
1114.08; 250012645.251114;
1115.08; 250012645.249104;
1116.08; 250012645.25155;
1117.08; 250012645.249415;
1118.08; 250012645.249133;
1119.08; 250012645.249508;
1120.08; 250012645.248877;
1121.09; 250012645.251538;
1122.09; 250012645.249975;
1123.09; 250012645.2504;
1124.09; 250012645.249038;
1125.09; 250012645.247182;
1126.09; 250012645.251092;
1127.09; 250012645.249457;
1128.09; 250012645.250471;
1129.09; 250012645.250543;
1130.1; 250012645.250346;
1131.1; 250012645.248442;
1132.1; 250012645.251273;
1133.1; 250012645.25033;
1134.1; 250012645.251033;
1135.1; 250012645.250182;
1136.1; 250012645.249289;
1137.1; 250012645.249162;
1138.1; 250012645.250169;
1139.11; 250012645.250466;
1140.11; 250012645.251354;
1141.11; 250012645.252322;
1142.11; 250012645.250259;
1143.11; 250012645.250855;
1144.11; 250012645.249949;
1145.11; 250012645.249779;
1146.11; 250012645.248865;
1147.11; 250012645.251141;
1148.11; 250012645.250094;
1149.11; 250012645.249684;
1150.11; 250012645.250443;
1151.12; 250012645.250596;
1152.12; 250012645.248908;
1153.12; 250012645.250134;
1154.12; 250012645.249699;
1155.12; 250012645.24963;
1156.12; 250012645.247457;
1157.12; 250012645.248887;
1158.12; 250012645.249847;
1159.13; 250012645.251513;
1160.13; 250012645.25023;
1161.13; 250012645.250497;
1162.13; 250012645.248793;
1163.13; 250012645.25032;
1164.13; 250012645.250846;
1165.13; 250012645.251251;
1166.13; 250012645.249942;
1167.13; 250012645.250225;
1168.13; 250012645.250167;
1169.13; 250012645.250351;
1170.14; 250012645.251748;
1171.14; 250012645.251794;
1172.14; 250012645.249015;
1173.14; 250012645.250548;
1174.14; 250012645.249341;
1175.14; 250012645.251209;
1176.14; 250012645.248457;
1177.14; 250012645.24929;
