Generated by TimeView III
Date:;Mon May 17 16:13:18 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

726.7; 250012595.74915;
727.7; 250012595.748906;
728.7; 250012595.751006;
729.7; 250012595.750229;
730.7; 250012595.750401;
731.7; 250012595.751565;
732.7; 250012595.750663;
733.71; 250012595.750429;
734.71; 250012595.749774;
735.71; 250012595.750641;
736.71; 250012595.751229;
737.71; 250012595.751065;
738.71; 250012595.748142;
739.71; 250012595.750257;
740.71; 250012595.748629;
741.71; 250012595.750069;
742.72; 250012595.749248;
743.72; 250012595.748939;
744.72; 250012595.748943;
745.72; 250012595.750797;
746.72; 250012595.750515;
747.72; 250012595.750074;
748.72; 250012595.750717;
749.72; 250012595.749984;
750.72; 250012595.750348;
751.72; 250012595.748177;
752.73; 250012595.749829;
753.73; 250012595.751633;
754.73; 250012595.750772;
755.73; 250012595.749055;
756.73; 250012595.751305;
757.73; 250012595.74948;
758.73; 250012595.750179;
759.73; 250012595.749763;
760.73; 250012595.749239;
761.73; 250012595.751989;
762.73; 250012595.750671;
763.74; 250012595.750141;
764.74; 250012595.749638;
765.74; 250012595.749018;
766.74; 250012595.749051;
767.74; 250012595.749795;
768.74; 250012595.751315;
769.74; 250012595.749559;
770.74; 250012595.749254;
771.74; 250012595.748667;
772.74; 250012595.751344;
773.75; 250012595.749586;
774.75; 250012595.750392;
775.75; 250012595.748277;
776.75; 250012595.748996;
777.75; 250012595.748695;
778.75; 250012595.751062;
779.75; 250012595.751302;
780.75; 250012595.750791;
781.75; 250012595.749776;
782.75; 250012595.751048;
783.76; 250012595.751381;
784.76; 250012595.749724;
785.76; 250012595.748142;
786.76; 250012595.751104;
787.76; 250012595.751185;
788.76; 250012595.749393;
789.76; 250012595.750172;
790.76; 250012595.748125;
791.76; 250012595.752543;
792.76; 250012595.748423;
793.76; 250012595.750041;
794.77; 250012595.750421;
795.77; 250012595.748748;
796.77; 250012595.750331;
797.77; 250012595.74863;
798.77; 250012595.749889;
799.77; 250012595.751176;
800.77; 250012595.751673;
801.77; 250012595.750185;
802.77; 250012595.75013;
803.77; 250012595.749988;
804.78; 250012595.750604;
805.78; 250012595.751514;
806.78; 250012595.750377;
807.78; 250012595.746669;
808.78; 250012595.750305;
809.78; 250012595.74937;
810.78; 250012595.750394;
811.78; 250012595.749021;
812.78; 250012595.751105;
813.78; 250012595.749877;
814.78; 250012595.750906;
815.78; 250012595.748983;
816.78; 250012595.747914;
817.78; 250012595.749904;
818.78; 250012595.749706;
819.79; 250012595.748894;
820.79; 250012595.750711;
821.79; 250012595.748453;
822.79; 250012595.749997;
823.79; 250012595.750317;
824.79; 250012595.748169;
825.79; 250012595.750228;
826.79; 250012595.751327;
827.79; 250012595.749608;
828.79; 250012595.749323;
829.79; 250012595.749997;
830.79; 250012595.74887;
831.79; 250012595.752032;
832.79; 250012595.750393;
833.79; 250012595.750398;
834.79; 250012595.751817;
835.8; 250012595.748087;
836.8; 250012595.748671;
837.8; 250012595.750333;
838.8; 250012595.750528;
839.8; 250012595.751747;
840.8; 250012595.751085;
841.8; 250012595.749455;
842.8; 250012595.751061;
843.8; 250012595.750391;
844.8; 250012595.750096;
845.8; 250012595.749151;
846.8; 250012595.752431;
847.81; 250012595.751104;
848.81; 250012595.750878;
849.81; 250012595.75112;
850.81; 250012595.751303;
851.81; 250012595.751974;
852.81; 250012595.749355;
853.81; 250012595.748957;
854.81; 250012595.749406;
855.82; 250012595.749761;
856.82; 250012595.748122;
857.82; 250012595.749744;
858.82; 250012595.750522;
859.82; 250012595.750368;
860.82; 250012595.749439;
