Generated by TimeView III
Date:;Mon May 17 15:22:51 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

356.35; 250012447.498566;
357.35; 250012447.500152;
358.35; 250012447.499849;
359.35; 250012447.500783;
360.35; 250012447.5025;
361.35; 250012447.500809;
362.35; 250012447.498833;
363.35; 250012447.500087;
364.35; 250012447.499416;
365.35; 250012447.500657;
366.35; 250012447.500628;
367.36; 250012447.500506;
368.36; 250012447.49946;
369.36; 250012447.500262;
370.36; 250012447.50167;
371.36; 250012447.502786;
372.36; 250012447.500463;
373.36; 250012447.498551;
374.36; 250012447.500137;
375.36; 250012447.500028;
376.36; 250012447.500432;
377.37; 250012447.499925;
378.37; 250012447.499602;
379.37; 250012447.499011;
380.37; 250012447.500689;
381.37; 250012447.498483;
382.37; 250012447.499126;
383.37; 250012447.502333;
384.37; 250012447.500966;
385.37; 250012447.499704;
386.38; 250012447.500664;
387.38; 250012447.499803;
388.38; 250012447.50164;
389.38; 250012447.500418;
390.38; 250012447.500564;
391.38; 250012447.50097;
392.38; 250012447.500666;
393.38; 250012447.499031;
394.38; 250012447.499268;
395.38; 250012447.500271;
396.38; 250012447.500357;
397.38; 250012447.50047;
398.38; 250012447.500485;
399.38; 250012447.498518;
400.38; 250012447.501364;
401.38; 250012447.497456;
402.39; 250012447.499107;
403.39; 250012447.499624;
404.39; 250012447.49781;
405.39; 250012447.500655;
406.39; 250012447.50114;
407.39; 250012447.498968;
408.39; 250012447.499768;
409.39; 250012447.499367;
410.39; 250012447.498398;
411.39; 250012447.499968;
412.39; 250012447.501896;
413.39; 250012447.500072;
414.39; 250012447.500383;
415.39; 250012447.500377;
416.39; 250012447.501316;
417.39; 250012447.499348;
418.4; 250012447.500627;
419.4; 250012447.501152;
420.4; 250012447.497745;
421.4; 250012447.49858;
422.4; 250012447.500051;
423.4; 250012447.49953;
424.41; 250012447.498744;
425.4; 250012447.500272;
426.4; 250012447.500963;
427.4; 250012447.499859;
428.4; 250012447.500229;
429.4; 250012447.502077;
430.4; 250012447.5012;
431.4; 250012447.500201;
432.4; 250012447.499199;
433.41; 250012447.499301;
434.41; 250012447.499734;
435.41; 250012447.501787;
436.41; 250012447.500349;
437.41; 250012447.50075;
438.41; 250012447.500305;
439.41; 250012447.500969;
440.41; 250012447.500981;
441.41; 250012447.50183;
442.41; 250012447.501454;
443.41; 250012447.501566;
444.41; 250012447.500039;
445.41; 250012447.500456;
446.41; 250012447.50074;
447.41; 250012447.498382;
448.41; 250012447.499824;
449.42; 250012447.500263;
450.42; 250012447.499954;
451.42; 250012447.499901;
452.42; 250012447.500085;
453.42; 250012447.500309;
454.42; 250012447.499788;
455.42; 250012447.501708;
456.42; 250012447.501101;
457.43; 250012447.499226;
458.43; 250012447.498924;
459.43; 250012447.501107;
460.43; 250012447.498369;
461.43; 250012447.500397;
462.43; 250012447.502025;
463.43; 250012447.500969;
464.43; 250012447.498297;
465.43; 250012447.500179;
466.43; 250012447.498349;
467.43; 250012447.502626;
468.43; 250012447.501074;
469.43; 250012447.501294;
470.44; 250012447.500896;
471.44; 250012447.500331;
472.44; 250012447.500489;
473.44; 250012447.499876;
474.44; 250012447.502607;
475.44; 250012447.500892;
476.44; 250012447.501187;
477.44; 250012447.499909;
478.44; 250012447.498587;
479.44; 250012447.499597;
480.44; 250012447.498104;
481.44; 250012447.499898;
482.44; 250012447.500943;
483.44; 250012447.499833;
484.44; 250012447.499143;
485.44; 250012447.498019;
486.45; 250012447.502281;
487.45; 250012447.500281;
488.45; 250012447.501138;
489.45; 250012447.499728;
490.45; 250012447.500784;
491.45; 250012447.499189;
492.45; 250012447.498279;
493.45; 250012447.50042;
494.45; 250012447.500273;
495.45; 250012447.4976;
496.45; 250012447.499332;
497.46; 250012447.498685;
498.46; 250012447.500729;
499.46; 250012447.500843;
500.46; 250012447.499379;
501.46; 250012447.501243;
502.46; 250012447.501069;
503.46; 250012447.499788;
504.46; 250012447.500429;
505.46; 250012447.499266;
506.46; 250012447.499004;
507.46; 250012447.499152;
508.47; 250012447.501609;
509.47; 250012447.498694;
510.47; 250012447.500427;
511.47; 250012447.500163;
512.47; 250012447.498962;
513.47; 250012447.500673;
514.47; 250012447.499679;
515.47; 250012447.498953;
516.47; 250012447.498172;
517.47; 250012447.500496;
518.48; 250012447.498693;
519.48; 250012447.499284;
520.48; 250012447.499307;
521.48; 250012447.499413;
522.48; 250012447.499271;
523.48; 250012447.499895;
524.48; 250012447.500067;
525.48; 250012447.498869;
526.48; 250012447.500756;
527.48; 250012447.499922;
528.49; 250012447.499419;
529.49; 250012447.499733;
530.49; 250012447.50065;
531.49; 250012447.500112;
532.49; 250012447.501336;
533.49; 250012447.49936;
534.49; 250012447.498261;
535.49; 250012447.498081;
536.49; 250012447.500241;
537.49; 250012447.499085;
538.5; 250012447.500774;
539.5; 250012447.500285;
540.5; 250012447.499962;
541.5; 250012447.500246;
542.5; 250012447.499702;
543.5; 250012447.498205;
544.5; 250012447.498259;
545.5; 250012447.500084;
546.5; 250012447.500286;
547.5; 250012447.498356;
548.5; 250012447.501611;
549.51; 250012447.500398;
550.51; 250012447.500416;
551.51; 250012447.499803;
552.51; 250012447.499654;
553.51; 250012447.501268;
554.51; 250012447.499605;
555.51; 250012447.499085;
556.51; 250012447.501023;
557.52; 250012447.500319;
558.52; 250012447.50171;
559.52; 250012447.497753;
560.52; 250012447.500732;
561.52; 250012447.499396;
562.52; 250012447.500127;
563.52; 250012447.499836;
564.52; 250012447.501371;
565.52; 250012447.499228;
566.52; 250012447.498101;
567.52; 250012447.501311;
568.53; 250012447.499975;
569.53; 250012447.498909;
570.53; 250012447.499094;
571.53; 250012447.500077;
572.53; 250012447.499547;
573.53; 250012447.500477;
574.53; 250012447.499973;
575.53; 250012447.499989;
576.53; 250012447.500754;
577.53; 250012447.498618;
578.53; 250012447.499426;
579.54; 250012447.500501;
580.54; 250012447.501629;
581.54; 250012447.499458;
582.54; 250012447.501254;
583.54; 250012447.49917;
584.54; 250012447.499723;
585.54; 250012447.500217;
586.54; 250012447.498595;
587.55; 250012447.499418;
588.55; 250012447.501549;
589.55; 250012447.4985;
590.55; 250012447.498412;
591.55; 250012447.499972;
592.55; 250012447.497836;
593.55; 250012447.499431;
594.55; 250012447.501617;
595.55; 250012447.499731;
596.55; 250012447.500664;
597.55; 250012447.502616;
598.56; 250012447.500348;
599.56; 250012447.499699;
600.56; 250012447.499823;
601.56; 250012447.499881;
602.56; 250012447.499866;
603.56; 250012447.500757;
604.56; 250012447.500133;
605.56; 250012447.499152;
606.56; 250012447.499986;
607.56; 250012447.499583;
608.56; 250012447.500567;
609.57; 250012447.498736;
610.57; 250012447.500498;
611.57; 250012447.499368;
612.57; 250012447.499883;
613.57; 250012447.498099;
614.57; 250012447.499656;
615.57; 250012447.500926;
616.57; 250012447.497703;
617.57; 250012447.498857;
618.58; 250012447.500396;
619.58; 250012447.500101;
620.58; 250012447.498363;
621.58; 250012447.50053;
622.58; 250012447.499875;
623.58; 250012447.499629;
624.58; 250012447.500434;
625.58; 250012447.500642;
626.58; 250012447.499228;
627.58; 250012447.498673;
628.59; 250012447.500948;
629.59; 250012447.500526;
630.59; 250012447.501026;
631.59; 250012447.499377;
632.59; 250012447.499714;
633.59; 250012447.498806;
634.59; 250012447.49915;
635.59; 250012447.500554;
636.59; 250012447.500509;
637.59; 250012447.49927;
638.59; 250012447.500637;
639.59; 250012447.501088;
640.6; 250012447.499858;
641.6; 250012447.498656;
